,id,country,urb/rur,age,sex,education,years_edu,work?,occupation,mar_status,spouse_job,housing,car,computer,income,household_income,participate,why_par,why_not_par
89,89,Algeria,Urban,31.0,Female,Elementary,5.0,No,A housewife,Bachelor,,Owned,Yes,No,,90000.0,"No, I did not",,I did not care to participate / It was not important
90,90,Algeria,Urban,19.0,Male,Secondary,12.0,No,A student,Bachelor,,Owned,No,Yes,,47000.0,"No, I did not",,I did not agree on the political changes
91,91,Algeria,Urban,23.0,Female,Mid-level diploma (professional or technical,14.0,No,A student,Divorced,,Other,No,Yes,,40000.0,"No, I did not",,I was afraid to participate in these demonstrations
92,92,Algeria,Urban,38.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Bachelor,,Other,Yes,No,32000.0,80000.0,"No, I did not",,Refuse
93,93,Algeria,Urban,18.0,Female,Secondary,12.0,No,A student,Bachelor,,Owned with mortgage payments to a bank,No,Yes,,50000.0,"No, I did not",,I did not care to participate / It was not important
94,94,Algeria,Urban,28.0,Male,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Owned,No,No,,70000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
95,95,Algeria,Urban,63.0,Female,Illiterate/No formal education,0.0,No,A housewife,Divorced,,Owned,No,No,,20000.0,"No, I did not",,I did not care to participate / It was not important
96,96,Algeria,Urban,27.0,Male,Elementary,5.0,Yes,Owner of a shop/grocery store,Bachelor,,Owned,No,Yes,,,Refuse,,
97,97,Algeria,Urban,24.0,Female,BA,16.0,Yes,"Professional such as lawyer, accountant, teacher, doctor, etc.",Married,Government employee,Rented,Yes,Yes,35000.0,60000.0,"No, I did not",,I did not know how to participate in these demonstrations
98,98,Algeria,Urban,26.0,Male,Elementary,5.0,Yes,Owner of a shop/grocery store,Bachelor,,Owned with mortgage payments to a bank,No,No,15000.0,30000.0,"No, I did not",,I did not care to participate / It was not important
99,99,Algeria,Urban,37.0,Female,Secondary,12.0,Yes,Craftsperson,Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Rented,Yes,Yes,38000.0,80000.0,Refuse,,
100,100,Algeria,Urban,24.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Bachelor,,Owned,No,Yes,23000.0,77000.0,"No, I did not",,I did not care to participate / It was not important
101,101,Algeria,Urban,43.0,Female,Elementary,5.0,No,A housewife,Married,Retired,Rented,No,Yes,,40000.0,"No, I did not",,I did not care to participate / It was not important
102,102,Algeria,Urban,44.0,Male,Elementary,5.0,Yes,A governmental employee,Married,Owner of a shop/grocery store,Owned,Yes,Yes,40000.0,90000.0,"No, I did not",,I did not know how to participate in these demonstrations
103,103,Algeria,Urban,43.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Owned,No,No,,45000.0,"No, I did not",,I did not care to participate / It was not important
104,104,Algeria,Urban,27.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,Yes,30000.0,60000.0,"No, I did not",,I did not care to participate / It was not important
105,105,Algeria,Urban,23.0,Female,Secondary,12.0,No,Unemployed,Bachelor,,Owned,No,Yes,,45000.0,"No, I did not",,I did not care to participate / It was not important
106,106,Algeria,Urban,39.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Government employee,Rented,Yes,Yes,30000.0,70000.0,"No, I did not",,I did not care to participate / It was not important
107,107,Algeria,Urban,28.0,Female,Secondary,12.0,No,A housewife,Bachelor,,Owned with mortgage payments to a bank,No,No,,55000.0,"No, I did not",,I did not care to participate / It was not important
108,108,Algeria,Urban,23.0,Male,BA,16.0,No,A student,Bachelor,,Owned,No,Yes,,89000.0,"No, I did not",,I did not care to participate / It was not important
109,109,Algeria,Urban,55.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Rented,No,Yes,,50000.0,"No, I did not",,I did not care to participate / It was not important
110,110,Algeria,Urban,50.0,Male,BA,16.0,Yes,A governmental employee,Married,Government employee,Rented,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
111,111,Algeria,Urban,59.0,Female,Prepartory/Basic,8.0,No,Retired,Married,Government employee,Owned,No,No,,,"No, I did not",,I did not care to participate / It was not important
112,112,Algeria,Urban,21.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Owned with mortgage payments to a bank,No,No,,,"No, I did not",,Don't know
113,113,Algeria,Urban,32.0,Female,BA,16.0,Yes,,Bachelor,,Owned with mortgage payments to a bank,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
114,114,Algeria,Urban,45.0,Male,BA,16.0,Yes,A governmental employee,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
115,115,Algeria,Urban,34.0,Female,Mid-level diploma (professional or technical,14.0,No,A housewife,Bachelor,,Owned with mortgage payments to a bank,No,No,,,"No, I did not",,Refuse
116,116,Algeria,Urban,29.0,Male,Elementary,5.0,Yes,Owner of a shop/grocery store,Bachelor,,,No,No,40000.0,,"No, I did not",,Don't know
117,117,Algeria,Urban,61.0,Female,Illiterate/No formal education,0.0,No,A housewife,Divorced,,Rented,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
118,118,Algeria,Urban,66.0,Male,Elementary,5.0,No,Retired,Married,Housewife,Owned,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
119,119,Algeria,Urban,25.0,Female,Elementary,5.0,No,A housewife,Bachelor,,Owned,No,No,,,"No, I did not",,Refuse
120,120,Algeria,Urban,52.0,Male,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Housewife,Owned with mortgage payments to a bank,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
121,121,Algeria,Urban,29.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Rented,Yes,Yes,,45000.0,"No, I did not",,I did not care to participate / It was not important
122,122,Algeria,Urban,49.0,Male,Elementary,5.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,No,,,"No, I did not",,I did not care to participate / It was not important
123,123,Algeria,Urban,39.0,Female,Mid-level diploma (professional or technical,14.0,No,A housewife,Married,Private sector employee,Rented,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
124,124,Algeria,Urban,32.0,Male,Elementary,5.0,Yes,Craftsperson,Bachelor,,,No,No,,,"No, I did not",,I did not care to participate / It was not important
125,125,Algeria,Urban,66.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,No,No,,,"No, I did not",,Don't know
126,126,Algeria,Urban,24.0,Male,Secondary,12.0,Yes,A governmental employee,Bachelor,,,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
127,127,Algeria,Urban,35.0,Female,Secondary,12.0,Yes,Private sector employee,Bachelor,,Owned with mortgage payments to a bank,No,No,,,"No, I did not",,I did not care to participate / It was not important
128,128,Algeria,Urban,26.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Craftsperson,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
129,129,Algeria,Urban,40.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Rented,No,No,,,"No, I did not",,I did not care to participate / It was not important
130,130,Algeria,Urban,29.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Working at the armed forces or the police,Married,Owner of a shop/grocery store,Rented,Yes,Yes,36000.0,60000.0,Refuse,,
131,131,Algeria,Urban,34.0,Female,Elementary,5.0,No,A housewife,Bachelor,,Rented,No,Yes,,15000.0,"No, I did not",,Don't know
132,132,Algeria,Urban,39.0,Male,BA,16.0,Yes,A governmental employee,Bachelor,,Owned,Yes,Yes,70000.0,70000.0,"No, I did not",,I did not know how to participate in these demonstrations
133,133,Algeria,Urban,64.0,Female,Illiterate/No formal education,0.0,No,A housewife,Divorced,,Owned,No,No,,,"No, I did not",,I did not know how to participate in these demonstrations
134,134,Algeria,Urban,49.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,36000.0,60000.0,"No, I did not",,I did not care to participate / It was not important
135,135,Algeria,Urban,33.0,Female,Secondary,12.0,No,A housewife,Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Rented,Yes,Yes,,,"No, I did not",,I did not know how to participate in these demonstrations
136,136,Algeria,Urban,32.0,Male,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Owned,No,Yes,,47000.0,"No, I did not",,I did not know who to support in these demonstrations
137,137,Algeria,Urban,24.0,Female,Secondary,12.0,No,Unemployed,Bachelor,,Owned,No,No,,32000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
138,138,Algeria,Urban,61.0,Male,Illiterate/No formal education,0.0,Yes,Craftsperson,Married,Housewife,Owned,No,Yes,23000.0,65000.0,Refuse,,
139,139,Algeria,Urban,24.0,Female,BA,16.0,No,A student,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
140,140,Algeria,Rural,51.0,Male,Elementary,5.0,Yes,Manual laborer,Married,Housewife,Owned,No,No,18000.0,32000.0,"No, I did not",,I did not care to participate / It was not important
141,141,Algeria,Rural,68.0,Female,Elementary,5.0,No,Retired,Married,Retired,Owned,No,No,21000.0,,"No, I did not",,I did not care to participate / It was not important
142,142,Algeria,Rural,25.0,Male,Secondary,12.0,Yes,A governmental employee,Bachelor,,Owned,Yes,Yes,39000.0,,"No, I did not",,I did not care to participate / It was not important
143,143,Algeria,Rural,30.0,Female,Prepartory/Basic,8.0,Yes,Private sector employee,Bachelor,,Owned,No,Yes,23000.0,45000.0,"No, I did not",,I did not care to participate / It was not important
144,144,Algeria,Rural,47.0,Male,BA,16.0,Yes,"Professional such as lawyer, accountant, teacher, doctor, etc.",Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Owned,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
145,145,Algeria,Rural,35.0,Female,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Owned,No,Yes,,45000.0,"No, I did not",,I did not care to participate / It was not important
146,146,Algeria,Rural,41.0,Male,Elementary,5.0,Yes,Private sector employee,Married,Housewife,Rented,No,No,18000.0,18000.0,"No, I did not",,I did not care to participate / It was not important
147,147,Algeria,Rural,30.0,Female,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Rented,No,Yes,,28000.0,"No, I did not",,Don't know
148,148,Algeria,Rural,25.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Bachelor,,Owned,Yes,No,18000.0,60000.0,"Yes, I did",Because everyone was participating in these demonstrations,
149,149,Algeria,Rural,47.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Government employee,Rented,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
150,150,Algeria,Rural,24.0,Male,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Owned with mortgage payments to a bank,Yes,Yes,,40000.0,"No, I did not",,I did not care to participate / It was not important
151,151,Algeria,Rural,35.0,Female,Mid-level diploma (professional or technical,14.0,No,A housewife,Married,Member of the armed forces/public security,Rented,No,Yes,,55000.0,"No, I did not",,I did not know how to participate in these demonstrations
152,152,Algeria,Rural,20.0,Male,Prepartory/Basic,8.0,Yes,Owner of a shop/grocery store,Bachelor,,Owned,No,Yes,35000.0,35000.0,"No, I did not",,I did not know how to participate in these demonstrations
153,153,Algeria,Rural,33.0,Female,Elementary,5.0,Yes,Private sector employee,Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Rented,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
154,154,Algeria,Rural,39.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Owned,No,Yes,,48000.0,"No, I did not",,Don't know
155,155,Algeria,Rural,21.0,Female,Mid-level diploma (professional or technical,14.0,No,A student,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
156,156,Algeria,Rural,56.0,Male,BA,16.0,Yes,Director of an institution or a high ranking governmental employee,Married,Housewife,Owned,Yes,Yes,100000.0,100000.0,"No, I did not",,I did not care to participate / It was not important
157,157,Algeria,Rural,41.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Private sector employee,Rented,No,Yes,,45000.0,"No, I did not",,I did not care to participate / It was not important
158,158,Algeria,Rural,36.0,Male,Elementary,5.0,Yes,,Bachelor,,Owned,Yes,No,21000.0,30000.0,"No, I did not",,I did not care to participate / It was not important
159,159,Algeria,Rural,55.0,Female,Elementary,5.0,No,A housewife,Married,Retired,Owned,Yes,Yes,,30000.0,"No, I did not",,Don't know
160,160,Algeria,Urban,30.0,Male,Prepartory/Basic,8.0,Yes,Private sector employee,Bachelor,,Owned,No,Yes,25000.0,,"No, I did not",,I did not care to participate / It was not important
161,161,Algeria,Urban,60.0,Female,Elementary,5.0,No,A housewife,Married,Retired,Owned,No,No,,,"No, I did not",,I did not care to participate / It was not important
